direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Dec 30, 2022",1672358400,2022-12-30T00:00:00Z,250.260,250.260,250.260,250.260,,0,-0.43,250.25999450683594,250.25999450683594,250.25999450683594,250.25999450683594,-0.43366284870141547
redFont,"Dec 29, 2022",1672272000,2022-12-29T00:00:00Z,251.350,251.350,251.350,251.350,,0,-0.06,251.35000610351562,251.35000610351562,251.35000610351562,251.35000610351562,-0.055667973514057965
redFont,"Dec 28, 2022",1672185600,2022-12-28T00:00:00Z,251.490,251.490,251.490,251.490,,0,-0.28,251.49000549316406,251.49000549316406,251.49000549316406,251.49000549316406,-0.28151921636376276
redFont,"Dec 27, 2022",1672099200,2022-12-27T00:00:00Z,252.200,252.200,252.200,252.200,,0,-0.09,252.19999694824219,252.19999694824219,252.19999694824219,252.19999694824219,-0.09111267845040383
greenFont,"Dec 26, 2022",1672012800,2022-12-26T00:00:00Z,252.430,252.430,252.430,252.430,,0,0.41,252.42999267578125,252.42999267578125,252.42999267578125,252.42999267578125,0.40570740973486574
greenFont,"Dec 23, 2022",1671753600,2022-12-23T00:00:00Z,251.410,251.410,251.410,251.410,,0,0.47,251.41000366210938,251.41000366210938,251.41000366210938,251.41000366210938,0.4715693380961229
redFont,"Dec 22, 2022",1671667200,2022-12-22T00:00:00Z,250.230,250.230,250.230,250.230,,0,-2.76,250.22999572753906,250.22999572753906,250.22999572753906,250.22999572753906,-2.759099683368103
redFont,"Dec 21, 2022",1671580800,2022-12-21T00:00:00Z,257.330,257.330,257.330,257.330,,0,-0.41,257.32998657226562,257.32998657226562,257.32998657226562,257.32998657226562,-0.4063852816409334
greenFont,"Dec 20, 2022",1671494400,2022-12-20T00:00:00Z,258.380,258.380,258.380,258.380,,0,1.67,258.38000488281250,258.38000488281250,258.38000488281250,258.38000488281250,1.6683739290733488
greenFont,"Dec 19, 2022",1671408000,2022-12-19T00:00:00Z,254.140,254.140,254.140,254.140,,0,2.31,254.13999938964844,254.13999938964844,254.13999938964844,254.13999938964844,2.31079131811738
greenFont,"Dec 16, 2022",1671148800,2022-12-16T00:00:00Z,248.400,248.400,248.400,248.400,,0,2.10,248.39999389648438,248.39999389648438,248.39999389648438,248.39999389648438,2.0961737693203517
greenFont,"Dec 15, 2022",1671062400,2022-12-15T00:00:00Z,243.300,243.300,243.300,243.300,,0,0.94,243.30000305175781,243.30000305175781,243.30000305175781,243.30000305175781,0.941793255593676
redFont,"Dec 14, 2022",1670976000,2022-12-14T00:00:00Z,241.030,241.030,241.030,241.030,,0,-1.44,241.02999877929688,241.02999877929688,241.02999877929688,241.02999877929688,-1.4434080857606846
greenFont,"Dec 13, 2022",1670889600,2022-12-13T00:00:00Z,244.560,244.560,244.560,244.560,,0,3.28,244.55999755859375,244.55999755859375,244.55999755859375,244.55999755859375,3.277024665046065
redFont,"Dec 12, 2022",1670803200,2022-12-12T00:00:00Z,236.800,236.800,236.800,236.800,,0,-1.26,236.80000305175781,236.80000305175781,236.80000305175781,236.80000305175781,-1.2592795347462888
redFont,"Dec 09, 2022",1670544000,2022-12-09T00:00:00Z,239.820,239.820,239.820,239.820,,0,-0.97,239.82000732421875,239.82000732421875,239.82000732421875,239.82000732421875,-0.9744757713003704
