direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Dec 29, 2022",1672272000,2022-12-29T00:00:00Z,"109,735","110,237","111,178","109,560",13.39M,13389109,-0.46,109734.60156250000000,110237.40625000000000,111177.53125000000000,109560.31250000000000,-0.4554829064926264
greenFont,"Dec 28, 2022",1672185600,2022-12-28T00:00:00Z,"110,237","108,578","110,536","108,578",11.19M,11193853,1.53,110236.71093750000000,108578.38281250000000,110535.56250000000000,108578.38281250000000,1.527477674861365
redFont,"Dec 27, 2022",1672099200,2022-12-27T00:00:00Z,"108,578","108,739","109,353","107,418",11.16M,11158078,-0.15,108578.20312500000000,108739.34375000000000,109352.67187500000000,107418.39843750000000,-0.14672629790482147
redFont,"Dec 26, 2022",1672012800,2022-12-26T00:00:00Z,"108,738","109,699","109,755","108,309",5.22M,5219539,-0.87,108737.75000000000000,109698.84375000000000,109755.22656250000000,108308.77343750000000,-0.8749695273703147
greenFont,"Dec 23, 2022",1671753600,2022-12-23T00:00:00Z,"109,698","107,552","109,994","107,552",12.85M,12847106,2.00,109697.57031250000000,107551.70312500000000,109994.22656250000000,107551.70312500000000,1.9953663197036013
greenFont,"Dec 22, 2022",1671667200,2022-12-22T00:00:00Z,"107,552","107,436","108,383","106,510",11.49M,11494612,0.11,107551.52343750000000,107436.29687500000000,108382.65625000000000,106509.70312500000000,0.11019208021965987
greenFont,"Dec 21, 2022",1671580800,2022-12-21T00:00:00Z,"107,433","106,866","107,991","106,066",17.63M,17634892,0.53,107433.14062500000000,106865.92187500000000,107991.07031250000000,106065.72656250000000,0.5324811607264658
greenFont,"Dec 20, 2022",1671494400,2022-12-20T00:00:00Z,"106,864","104,740","107,792","104,607",19.13M,19125612,2.03,106864.10937500000000,104739.56250000000000,107792.11718750000000,104606.86718750000000,2.0282265090378773
greenFont,"Dec 19, 2022",1671408000,2022-12-19T00:00:00Z,"104,740","102,859","105,107","102,770",16.77M,16773407,1.83,104739.75000000000000,102859.17187500000000,105107.18750000000000,102769.75781250000000,1.8317378791434906
redFont,"Dec 16, 2022",1671148800,2022-12-16T00:00:00Z,"102,856","103,737","104,018","102,248",18.26M,18255000,-0.85,102855.70312500000000,103737.17187500000000,104017.56250000000000,102248.42187500000000,-0.8502063196656471
redFont,"Dec 15, 2022",1671062400,2022-12-15T00:00:00Z,"103,738","103,739","105,483","103,014",15.57M,15568165,-0.01,103737.68750000000000,103739.25000000000000,105482.71875000000000,103014.25781250000000,-0.007793992210074221
greenFont,"Dec 14, 2022",1670976000,2022-12-14T00:00:00Z,"103,746","103,536","104,516","101,632",24.92M,24923542,0.20,103745.77343750000000,103536.10156250000000,104515.82812500000000,101631.97656250000000,0.19905564579035903
redFont,"Dec 13, 2022",1670889600,2022-12-13T00:00:00Z,"103,540","105,345","106,689","103,409",17.70M,17702210,-1.71,103539.67187500000000,105345.14062500000000,106689.38281250000000,103409.27343750000000,-1.7121694198419364
redFont,"Dec 12, 2022",1670803200,2022-12-12T00:00:00Z,"105,343","107,518","107,561","103,877",15.48M,15481873,-2.02,105343.32812500000000,107518.28125000000000,107561.11718750000000,103876.71093750000000,-2.024035742332936
greenFont,"Dec 09, 2022",1670544000,2022-12-09T00:00:00Z,"107,520","107,250","108,566","107,089",10.68M,10676280,0.25,107519.56250000000000,107249.75781250000000,108565.57031250000000,107089.21875000000000,0.25223856536593386
redFont,"Dec 08, 2022",1670457600,2022-12-08T00:00:00Z,"107,249","109,068","109,286","106,906",14.92M,14920984,-1.67,107249.03906250000000,109067.65625000000000,109285.75000000000000,106905.81250000000000,-1.66822412568243
redFont,"Dec 07, 2022",1670371200,2022-12-07T00:00:00Z,"109,069","110,188","110,247","108,612",13.83M,13825319,-1.02,109068.54687500000000,110188.04687500000000,110246.78906250000000,108612.02343750000000,-1.0164606313736175
greenFont,"Dec 06, 2022",1670284800,2022-12-06T00:00:00Z,"110,189","109,403","110,663","109,217",13.44M,13437505,0.72,110188.57031250000000,109402.99218750000000,110662.72656250000000,109217.24218750000000,0.7195191446636455
redFont,"Dec 05, 2022",1670198400,2022-12-05T00:00:00Z,"109,401","111,922","112,150","109,270",12.31M,12308400,-2.25,109401.40625000000000,111921.64843750000000,112149.57812500000000,109270.17968750000000,-2.2537838374180343
greenFont,"Dec 02, 2022",1669939200,2022-12-02T00:00:00Z,"111,924","110,926","113,761","109,963",15.98M,15982003,0.90,111923.92968750000000,110925.74218750000000,113760.75000000000000,109963.02343750000000,0.8999979363983898
redFont,"Dec 01, 2022",1669852800,2022-12-01T00:00:00Z,"110,926","112,479","112,479","110,548",15.19M,15193745,-1.39,110925.60156250000000,112478.67968750000000,112478.75781250000000,110547.84375000000000,-1.3872003108164355
greenFont,"Nov 30, 2022",1669766400,2022-11-30T00:00:00Z,"112,486","110,910","112,486","110,202",19.70M,19703198,1.42,112486.00781250000000,110909.68750000000000,112486.00781250000000,110202.25000000000000,1.4213362091737147
greenFont,"Nov 29, 2022",1669680000,2022-11-29T00:00:00Z,"110,910","108,784","112,187","108,784",14.72M,14721688,1.96,110909.60937500000000,108783.97656250000000,112187.10937500000000,108783.97656250000000,1.9557077774781377
redFont,"Nov 28, 2022",1669593600,2022-11-28T00:00:00Z,"108,782","108,977","109,476","108,378",11.49M,11492609,-0.18,108782.14843750000000,108976.70312500000000,109476.06250000000000,108377.75000000000000,-0.17852869642866617
redFont,"Nov 25, 2022",1669334400,2022-11-25T00:00:00Z,"108,977","111,831","112,025","108,552",12.31M,12309057,-2.55,108976.70312500000000,111831.15625000000000,112025.46875000000000,108551.96093750000000,-2.5524667907562657
greenFont,"Nov 24, 2022",1669248000,2022-11-24T00:00:00Z,"111,831","108,846","112,612","108,846",10.30M,10296919,2.75,111831.15625000000000,108845.74218750000000,112612.15625000000000,108845.74218750000000,2.7471299737497317
redFont,"Nov 23, 2022",1669161600,2022-11-23T00:00:00Z,"108,841","109,036","109,285","107,902",13.20M,13198423,-0.18,108841.14843750000000,109035.79687500000000,109285.24218750000000,107901.90625000000000,-0.17919738344593059
redFont,"Nov 22, 2022",1669075200,2022-11-22T00:00:00Z,"109,037","109,750","110,224","107,867",15.06M,15056538,-0.65,109036.53906250000000,109749.71093750000000,110223.72656250000000,107867.46875000000000,-0.6484304587341176
greenFont,"Nov 21, 2022",1668988800,2022-11-21T00:00:00Z,"109,748","108,868","110,235","107,957",16.65M,16651617,0.81,109748.17968750000000,108868.17968750000000,110235.28906250000000,107957.00781250000000,0.806472330647269
redFont,"Nov 18, 2022",1668729600,2022-11-18T00:00:00Z,"108,870","109,706","111,585","108,512",18.77M,18769124,-0.76,108870.17187500000000,109706.42968750000000,111584.85937500000000,108511.71093750000000,-0.7589683374595391
redFont,"Nov 17, 2022",1668643200,2022-11-17T00:00:00Z,"109,703","110,241","110,242","107,245",23.12M,23119598,-0.49,109702.78125000000000,110240.65625000000000,110241.79687500000000,107245.13281250000000,-0.490321622354414
